idx,frame_dir,model_id,person_id,action_id,repeat_id,label,total_frames,action_name,split,original_idx,augmentation_type
7200,M001P002A001R001_AUG000,1,2,10000,1,0,300,Svend Press (aug 0),train,0,aug_0
7201,M001P002A001R001_AUG001,1,2,10001,1,0,300,Svend Press (aug 1),train,0,aug_1
7202,M001P002A001R002_AUG000,1,2,10002,2,0,300,Svend Press (aug 0),train,1,aug_0
7203,M001P002A001R002_AUG001,1,2,10003,2,0,300,Svend Press (aug 1),train,1,aug_1
7204,M001P002A001R003_AUG000,1,2,10004,3,0,300,Svend Press (aug 0),train,2,aug_0
7205,M001P002A001R003_AUG001,1,2,10005,3,0,300,Svend Press (aug 1),train,2,aug_1
7206,M001P002A002R001_AUG000,1,2,10006,1,1,300,Kneeling Push-ups (aug 0),train,3,aug_0
7207,M001P002A002R001_AUG001,1,2,10007,1,1,300,Kneeling Push-ups (aug 1),train,3,aug_1
7208,M001P002A002R002_AUG000,1,2,10008,2,1,300,Kneeling Push-ups (aug 0),train,4,aug_0
7209,M001P002A002R002_AUG001,1,2,10009,2,1,300,Kneeling Push-ups (aug 1),train,4,aug_1
7210,M001P002A002R003_AUG000,1,2,10010,3,1,300,Kneeling Push-ups (aug 0),train,5,aug_0
7211,M001P002A002R003_AUG001,1,2,10011,3,1,300,Kneeling Push-ups (aug 1),train,5,aug_1
7212,M001P002A003R001_AUG000,1,2,10012,1,2,300,Standing Straight-arm Chest Press With Resistance Band (aug 0),train,6,aug_0
7213,M001P002A003R001_AUG001,1,2,10013,1,2,300,Standing Straight-arm Chest Press With Resistance Band (aug 1),train,6,aug_1
7214,M001P002A003R002_AUG000,1,2,10014,2,2,300,Standing Straight-arm Chest Press With Resistance Band (aug 0),train,7,aug_0
7215,M001P002A003R002_AUG001,1,2,10015,2,2,300,Standing Straight-arm Chest Press With Resistance Band (aug 1),train,7,aug_1
7216,M001P002A003R003_AUG000,1,2,10016,3,2,300,Standing Straight-arm Chest Press With Resistance Band (aug 0),train,8,aug_0
7217,M001P002A003R003_AUG001,1,2,10017,3,2,300,Standing Straight-arm Chest Press With Resistance Band (aug 1),train,8,aug_1
7218,M001P002A004R001_AUG000,1,2,10018,1,3,300,Small Dumbbell Floor Flies (aug 0),train,9,aug_0
7219,M001P002A004R001_AUG001,1,2,10019,1,3,300,Small Dumbbell Floor Flies (aug 1),train,9,aug_1
7220,M001P002A004R002_AUG000,1,2,10020,2,3,300,Small Dumbbell Floor Flies (aug 0),train,10,aug_0
7221,M001P002A004R002_AUG001,1,2,10021,2,3,300,Small Dumbbell Floor Flies (aug 1),train,10,aug_1
7222,M001P002A004R003_AUG000,1,2,10022,3,3,300,Small Dumbbell Floor Flies (aug 0),train,11,aug_0
7223,M001P002A004R003_AUG001,1,2,10023,3,3,300,Small Dumbbell Floor Flies (aug 1),train,11,aug_1
7224,M001P002A005R001_AUG000,1,2,10024,1,4,300,Chest Fly (aug 0),train,12,aug_0
7225,M001P002A005R001_AUG001,1,2,10025,1,4,300,Chest Fly (aug 1),train,12,aug_1
7226,M001P002A005R002_AUG000,1,2,10026,2,4,300,Chest Fly (aug 0),train,13,aug_0
7227,M001P002A005R002_AUG001,1,2,10027,2,4,300,Chest Fly (aug 1),train,13,aug_1
7228,M001P002A005R003_AUG000,1,2,10028,3,4,300,Chest Fly (aug 0),train,14,aug_0
7229,M001P002A005R003_AUG001,1,2,10029,3,4,300,Chest Fly (aug 1),train,14,aug_1
7230,M001P002A006R001_AUG000,1,2,10030,1,5,300,Push-ups (aug 0),train,15,aug_0
7231,M001P002A006R001_AUG001,1,2,10031,1,5,300,Push-ups (aug 1),train,15,aug_1
7232,M001P002A006R002_AUG000,1,2,10032,2,5,300,Push-ups (aug 0),train,16,aug_0
7233,M001P002A006R002_AUG001,1,2,10033,2,5,300,Push-ups (aug 1),train,16,aug_1
7234,M001P002A006R003_AUG000,1,2,10034,3,5,300,Push-ups (aug 0),train,17,aug_0
7235,M001P002A006R003_AUG001,1,2,10035,3,5,300,Push-ups (aug 1),train,17,aug_1
7236,M001P002A007R001_AUG000,1,2,10036,1,6,300,Bent-over W-shape Stretch (aug 0),train,18,aug_0
7237,M001P002A007R001_AUG001,1,2,10037,1,6,300,Bent-over W-shape Stretch (aug 1),train,18,aug_1
7238,M001P002A007R002_AUG000,1,2,10038,2,6,300,Bent-over W-shape Stretch (aug 0),train,19,aug_0
7239,M001P002A007R002_AUG001,1,2,10039,2,6,300,Bent-over W-shape Stretch (aug 1),train,19,aug_1
7240,M001P002A007R003_AUG000,1,2,10040,3,6,300,Bent-over W-shape Stretch (aug 0),train,20,aug_0
7241,M001P002A007R003_AUG001,1,2,10041,3,6,300,Bent-over W-shape Stretch (aug 1),train,20,aug_1
7242,M001P002A008R001_AUG000,1,2,10042,1,7,300,Bent-over Y-shape Stretch (aug 0),train,21,aug_0
7243,M001P002A008R001_AUG001,1,2,10043,1,7,300,Bent-over Y-shape Stretch (aug 1),train,21,aug_1
7244,M001P002A008R002_AUG000,1,2,10044,2,7,300,Bent-over Y-shape Stretch (aug 0),train,22,aug_0
7245,M001P002A008R002_AUG001,1,2,10045,2,7,300,Bent-over Y-shape Stretch (aug 1),train,22,aug_1
7246,M001P002A008R003_AUG000,1,2,10046,3,7,300,Bent-over Y-shape Stretch (aug 0),train,23,aug_0
7247,M001P002A008R003_AUG001,1,2,10047,3,7,300,Bent-over Y-shape Stretch (aug 1),train,23,aug_1
7248,M001P002A009R001_AUG000,1,2,10048,1,8,300,Bent-over A-shape Stretch (aug 0),train,24,aug_0
7249,M001P002A009R001_AUG001,1,2,10049,1,8,300,Bent-over A-shape Stretch (aug 1),train,24,aug_1
7250,M001P002A009R002_AUG000,1,2,10050,2,8,300,Bent-over A-shape Stretch (aug 0),train,25,aug_0
7251,M001P002A009R002_AUG001,1,2,10051,2,8,300,Bent-over A-shape Stretch (aug 1),train,25,aug_1
7252,M001P002A009R003_AUG000,1,2,10052,3,8,300,Bent-over A-shape Stretch (aug 0),train,26,aug_0
7253,M001P002A009R003_AUG001,1,2,10053,3,8,300,Bent-over A-shape Stretch (aug 1),train,26,aug_1
7254,M001P002A010R001_AUG000,1,2,10054,1,9,300,Squat With Arm Lift (aug 0),train,27,aug_0
7255,M001P002A010R001_AUG001,1,2,10055,1,9,300,Squat With Arm Lift (aug 1),train,27,aug_1
7256,M001P002A010R002_AUG000,1,2,10056,2,9,300,Squat With Arm Lift (aug 0),train,28,aug_0
7257,M001P002A010R002_AUG001,1,2,10057,2,9,300,Squat With Arm Lift (aug 1),train,28,aug_1
