k,run_id,seed,acc,f1,top5,valid_classes,test_samples
1,0,43,0.4318181818181818,0.3448216421847253,0.9886363636363636,12,88
1,1,1043,0.45454545454545453,0.3844145578014079,0.9431818181818182,12,88
1,2,2043,0.29545454545454547,0.24149911024416948,0.8863636363636364,12,88
1,3,3043,0.4659090909090909,0.3620715558950853,0.9318181818181818,12,88
1,4,4043,0.5227272727272727,0.42063139784599907,0.9431818181818182,12,88
1,5,5043,0.4318181818181818,0.3547468998000698,0.9090909090909091,12,88
1,6,6043,0.3181818181818182,0.264031524031524,0.9545454545454546,12,88
1,7,7043,0.4772727272727273,0.36094146094146096,0.9545454545454546,12,88
1,8,8043,0.45454545454545453,0.4070159786737327,0.9204545454545454,12,88
1,9,9043,0.3977272727272727,0.3123916268185043,0.9090909090909091,12,88
1,10,10043,0.3522727272727273,0.2615399636120426,0.9772727272727273,12,88
1,11,11043,0.5,0.4876479371942166,1.0,12,88
1,12,12043,0.36363636363636365,0.28898345986392876,0.9659090909090909,12,88
1,13,13043,0.4659090909090909,0.37722816399286985,0.9545454545454546,12,88
1,14,14043,0.42045454545454547,0.35842974008578093,0.9090909090909091,12,88
1,15,15043,0.4318181818181818,0.31497845245101086,0.9318181818181818,12,88
1,16,16043,0.375,0.2836498687540061,0.8863636363636364,12,88
1,17,17043,0.4772727272727273,0.43212342353209227,0.9431818181818182,12,88
1,18,18043,0.3068181818181818,0.19287593169946113,1.0,12,88
1,19,19043,0.38636363636363635,0.2674618709307705,0.9545454545454546,12,88
2,0,44,0.3977272727272727,0.3318178366025256,0.9659090909090909,12,88
2,1,1044,0.5681818181818182,0.4178307038127128,0.9545454545454546,12,88
2,2,2044,0.5454545454545454,0.4259535918626828,0.9545454545454546,12,88
2,3,3044,0.5227272727272727,0.4310855810855811,1.0,12,88
2,4,4044,0.4659090909090909,0.36481504235514933,0.9545454545454546,12,88
2,5,5044,0.5227272727272727,0.4085284217249027,0.9204545454545454,12,88
2,6,6044,0.45454545454545453,0.3489934308116126,1.0,12,88
2,7,7044,0.5795454545454546,0.4895863939981587,0.9545454545454546,12,88
2,8,8044,0.4431818181818182,0.32830006805338874,0.9772727272727273,12,88
2,9,9044,0.45454545454545453,0.37977426613790255,0.9772727272727273,12,88
2,10,10044,0.5340909090909091,0.4551841865024846,0.9545454545454546,12,88
2,11,11044,0.5227272727272727,0.3957906128958761,0.9545454545454546,12,88
2,12,12044,0.45454545454545453,0.3574688286287033,0.9545454545454546,12,88
2,13,13044,0.4659090909090909,0.3445291045291045,0.9318181818181818,12,88
2,14,14044,0.45454545454545453,0.3722358512113649,1.0,12,88
2,15,15044,0.5227272727272727,0.4519949962005972,0.9886363636363636,12,88
2,16,16044,0.4772727272727273,0.3654000833514017,0.9545454545454546,12,88
2,17,17044,0.45454545454545453,0.3609882940026481,0.9886363636363636,12,88
2,18,18044,0.375,0.30308277581004855,0.9545454545454546,12,88
2,19,19044,0.5340909090909091,0.48073032992941456,0.9204545454545454,12,88
5,0,47,0.4431818181818182,0.3491528079763374,1.0,12,88
5,1,1047,0.48863636363636365,0.38163812816219234,0.9545454545454546,12,88
5,2,2047,0.5909090909090909,0.4661023960559563,0.9545454545454546,12,88
5,3,3047,0.5340909090909091,0.4328930056871233,0.9545454545454546,12,88
5,4,4047,0.5568181818181818,0.44357176121881997,0.9659090909090909,12,88
5,5,5047,0.5227272727272727,0.4399220060984767,0.9659090909090909,12,88
5,6,6047,0.5,0.38874643700326833,0.9545454545454546,12,88
5,7,7047,0.5681818181818182,0.46372251664986314,0.9318181818181818,12,88
5,8,8047,0.5340909090909091,0.43869270116073183,0.9545454545454546,12,88
