label,action_name,n_samples,recall_at_1,recall_at_5,average_precision,mean_rank,median_rank,confusion_rate,most_confused_with,most_confused_count
0,Svend Press,36,0.027777777777777776,0.1388888888888889,0.11595997768873996,18.5,18.5,0.0,N/A,0
1,Kneeling Push-ups,36,0.027777777777777776,0.1388888888888889,0.11350799384052891,21.61111111111111,18.5,0.0,N/A,0
2,Standing Straight-arm Chest Press With Resistance Band,36,0.027777777777777776,0.1388888888888889,0.11595997768873996,18.5,18.5,0.0,N/A,0
3,Small Dumbbell Floor Flies,36,0.027777777777777776,0.1388888888888889,0.11595997768873996,18.5,18.5,0.0,N/A,0
4,Chest Fly,36,0.027777777777777776,0.1388888888888889,0.11595997768873995,18.5,18.5,0.0,N/A,0
5,Push-ups,36,0.027777777777777776,0.1388888888888889,0.1128688819904279,22.0,18.5,0.0,N/A,0
6,Bent-over W-shape Stretch,36,0.027777777777777776,0.1388888888888889,0.11595997768873996,18.5,18.5,0.0,N/A,0
7,Bent-over Y-shape Stretch,36,0.027777777777777776,0.1388888888888889,0.11595997768873996,18.5,18.5,0.0,N/A,0
8,Bent-over A-shape Stretch,36,0.027777777777777776,0.1388888888888889,0.11595997768873996,18.5,18.5,0.0,N/A,0
9,Squat With Arm Lift,36,0.027777777777777776,0.1388888888888889,0.11595997768873996,18.5,18.5,0.0,N/A,0
10,Breaststroke Arm Pull,36,0.027777777777777776,0.1388888888888889,0.11595997768873999,18.5,18.5,0.0,N/A,0
11,Prone Y-shape Stretch,36,0.027777777777777776,0.1388888888888889,0.11485417113447699,19.77777777777778,18.5,0.0,N/A,0
12,Lateral Raise Forward Circles,36,0.027777777777777776,0.1388888888888889,0.11595997768873996,18.5,18.5,0.0,N/A,0
13,Lateral Raise Backward Circles,36,0.027777777777777776,0.1388888888888889,0.11595997768873995,18.5,18.5,0.0,N/A,0
14,Lying Shoulder Joint Upward Round,36,0.027777777777777776,0.1388888888888889,0.10419248864410481,23.666666666666668,24.5,0.0,N/A,0
15,Lying Shoulder Joint Downward Round,36,0.027777777777777776,0.1388888888888889,0.11299153850095671,24.13888888888889,18.5,0.0,N/A,0
16,Bare-handed Full Lateral Raise,36,0.027777777777777776,0.1388888888888889,0.11595997768873996,18.5,18.5,0.0,N/A,0
17,Bare-handed Cuban Press,36,0.027777777777777776,0.1388888888888889,0.11595997768873996,18.5,18.5,0.0,N/A,0
18,Fortune Cat,36,0.027777777777777776,0.1388888888888889,0.11595997768873999,18.5,18.5,0.0,N/A,0
19,Dumbbell Curls,36,0.027777777777777776,0.1388888888888889,0.11595997768873996,18.5,18.5,0.0,N/A,0
20,Alternate Dumbbell Curls,36,0.027777777777777776,0.1388888888888889,0.11595997768873996,18.5,18.5,0.0,N/A,0
21,Right-side Kettlebell Bent-over Row,36,0.027777777777777776,0.1388888888888889,0.11595997768873996,18.5,18.5,0.0,N/A,0
22,Wrist Joint Warm-up,36,0.027777777777777776,0.1388888888888889,0.11595997768873996,18.5,18.5,0.0,N/A,0
23,Right-side Bent-over Tricep Extension With Resistance Band,36,0.027777777777777776,0.1388888888888889,0.11595997768873996,18.5,18.5,0.0,N/A,0
24,Bent-over Dumbbell Tricep Extension,36,0.027777777777777776,0.1388888888888889,0.11003452311751499,23.5,21.5,0.0,N/A,0
