sample_idx,action_id,label,action_name,rank,gt_similarity,top5_labels,top5_sims
1723,35,34,Kneeling Right Arm Raise,1758,-0.2311815619468689,"[24, 24, 24, 24, 24]","[0.8635653257369995, 0.8635653257369995, 0.8635653257369995, 0.8635652661323547, 0.8635652661323547]"
1724,35,34,Kneeling Right Arm Raise,1750,-0.23118151724338531,"[24, 24, 24, 24, 24]","[0.8635653257369995, 0.8635653257369995, 0.8635653257369995, 0.8635652661323547, 0.8635652661323547]"
643,35,34,Kneeling Right Arm Raise,1720,-0.2163943499326706,"[24, 24, 24, 24, 24]","[0.8622027635574341, 0.8622027635574341, 0.8622027635574341, 0.8622027039527893, 0.8622027039527893]"
1183,35,34,Kneeling Right Arm Raise,1718,-0.1823725551366806,"[24, 24, 24, 24, 24]","[0.8626885414123535, 0.8626885414123535, 0.8626885414123535, 0.8626884818077087, 0.8626884818077087]"
103,35,34,Kneeling Right Arm Raise,1716,-0.2143268585205078,"[24, 24, 24, 24, 24]","[0.8714318871498108, 0.8714318871498108, 0.8714318871498108, 0.8714318871498108, 0.8714318871498108]"
1184,35,34,Kneeling Right Arm Raise,1710,-0.18237259984016418,"[24, 24, 24, 24, 24]","[0.8626885414123535, 0.8626885414123535, 0.8626885414123535, 0.8626884818077087, 0.8626884818077087]"
644,35,34,Kneeling Right Arm Raise,1708,-0.21639423072338104,"[24, 24, 24, 24, 24]","[0.8622027635574341, 0.8622027635574341, 0.8622027635574341, 0.8622027039527893, 0.8622027039527893]"
104,35,34,Kneeling Right Arm Raise,1705,-0.21432675421237946,"[24, 24, 24, 24, 24]","[0.8714318871498108, 0.8714318871498108, 0.8714318871498108, 0.8714318871498108, 0.8714318871498108]"
642,35,34,Kneeling Right Arm Raise,1661,-0.17345719039440155,"[24, 24, 24, 24, 24]","[0.8675389289855957, 0.8675389289855957, 0.8675389289855957, 0.8675388693809509, 0.8675388693809509]"
1722,35,34,Kneeling Right Arm Raise,1661,-0.1777883768081665,"[24, 24, 24, 24, 24]","[0.863394558429718, 0.863394558429718, 0.863394558429718, 0.8633943796157837, 0.8633943796157837]"
102,35,34,Kneeling Right Arm Raise,1629,-0.16577938199043274,"[24, 24, 24, 24, 24]","[0.8653547763824463, 0.8653547763824463, 0.8653547763824463, 0.8653547167778015, 0.8653547167778015]"
1182,35,34,Kneeling Right Arm Raise,1446,-0.11961675435304642,"[24, 24, 24, 24, 24]","[0.8698388934135437, 0.8698388934135437, 0.8698388934135437, 0.8698388934135437, 0.8698388934135437]"
645,36,35,Shoulder Bridge,427,0.15003415942192078,"[37, 37, 37, 37, 37]","[0.606508195400238, 0.606508195400238, 0.606508195400238, 0.606508195400238, 0.606508195400238]"
1185,36,35,Shoulder Bridge,392,0.11744533479213715,"[37, 37, 37, 37, 37]","[0.6877723932266235, 0.6877723932266235, 0.6877723932266235, 0.687772274017334, 0.687772274017334]"
1725,36,35,Shoulder Bridge,352,0.18091429769992828,"[37, 37, 37, 37, 37]","[0.5995396375656128, 0.5995396375656128, 0.5995396375656128, 0.5995396375656128, 0.5995396375656128]"
105,36,35,Shoulder Bridge,215,0.23883263766765594,"[37, 37, 37, 37, 37]","[0.47337037324905396, 0.47337037324905396, 0.47337037324905396, 0.47337037324905396, 0.47337037324905396]"
1341,28,27,Shrug And Sink The Shoulders,107,0.5624009370803833,"[28, 28, 28, 28, 28]","[0.8227097392082214, 0.8227097392082214, 0.8227097392082214, 0.8227097392082214, 0.8227097392082214]"
1881,28,27,Shrug And Sink The Shoulders,107,0.5315110087394714,"[28, 28, 28, 28, 28]","[0.8279215097427368, 0.8279215097427368, 0.8279215097427368, 0.827921450138092, 0.827921450138092]"
801,28,27,Shrug And Sink The Shoulders,101,0.47741466760635376,"[28, 28, 28, 28, 28]","[0.8550093173980713, 0.8550093173980713, 0.8550093173980713, 0.8550091981887817, 0.8550091981887817]"
261,28,27,Shrug And Sink The Shoulders,100,0.5758926868438721,"[28, 28, 28, 28, 28]","[0.806256115436554, 0.806256115436554, 0.806256115436554, 0.806256115436554, 0.806256115436554]"
