sample_idx,action_id,label,action_name,rank,gt_similarity,text_preview,top5_labels,top5_sims
1724,35,34,Kneeling Right Arm Raise,1900,-0.23118151724338531,Kneeling Right Arm Raise: kneel on the mat with knees hip-width apart and keep your knees below the ,"[34, 34, 34, 34, 34]","[0.9030381441116333, 0.9008297324180603, 0.9004841446876526, 0.900065541267395, 0.8974262475967407]"
1723,35,34,Kneeling Right Arm Raise,1897,-0.2311815619468689,Kneeling Right Arm Raise: kneel on the mat with knees hip-width apart and keep your knees below the ,"[34, 34, 34, 34, 34]","[0.9030380249023438, 0.9008297324180603, 0.9004841446876526, 0.9000657200813293, 0.8974261283874512]"
643,35,34,Kneeling Right Arm Raise,1832,-0.2163943499326706,Kneeling Right Arm Raise: kneel on the mat with knees hip-width apart and keep your knees below the ,"[34, 34, 34, 34, 34]","[0.9030382037162781, 0.9008299708366394, 0.9004842042922974, 0.9000658988952637, 0.8974263668060303]"
644,35,34,Kneeling Right Arm Raise,1830,-0.21639423072338104,Kneeling Right Arm Raise: kneel on the mat with knees hip-width apart and keep your knees below the ,"[34, 34, 34, 34, 34]","[0.9030382037162781, 0.9008301496505737, 0.9004842042922974, 0.9000654816627502, 0.897426426410675]"
103,35,34,Kneeling Right Arm Raise,1817,-0.2143268585205078,Kneeling Right Arm Raise: kneel on the mat with knees hip-width apart and keep your knees below the ,"[34, 34, 34, 34, 34]","[0.9030382037162781, 0.9008299708366394, 0.9004842042922974, 0.9000658988952637, 0.8974263668060303]"
104,35,34,Kneeling Right Arm Raise,1816,-0.21432675421237946,Kneeling Right Arm Raise: kneel on the mat with knees hip-width apart and keep your knees below the ,"[34, 34, 34, 34, 34]","[0.9030383229255676, 0.900830090045929, 0.9004840850830078, 0.9000654220581055, 0.8974263668060303]"
1184,35,34,Kneeling Right Arm Raise,1703,-0.18237259984016418,Kneeling Right Arm Raise: kneel on the mat with knees hip-width apart and keep your knees below the ,"[34, 34, 34, 34, 34]","[0.9030382037162781, 0.9008301496505737, 0.9004842042922974, 0.9000654816627502, 0.897426426410675]"
1183,35,34,Kneeling Right Arm Raise,1702,-0.1823725551366806,Kneeling Right Arm Raise: kneel on the mat with knees hip-width apart and keep your knees below the ,"[34, 34, 34, 34, 34]","[0.9030380249023438, 0.9008297324180603, 0.9004841446876526, 0.9000657200813293, 0.8974261283874512]"
1722,35,34,Kneeling Right Arm Raise,1691,-0.1777883768081665,Kneeling Right Arm Raise: kneel on the mat with knees hip-width apart and keep your knees below the ,"[34, 34, 34, 34, 34]","[0.9030384421348572, 0.900830090045929, 0.9004842638969421, 0.9000656008720398, 0.897426426410675]"
642,35,34,Kneeling Right Arm Raise,1684,-0.17345719039440155,Kneeling Right Arm Raise: kneel on the mat with knees hip-width apart and keep your knees below the ,"[34, 34, 34, 34, 34]","[0.9030383825302124, 0.9008303284645081, 0.9004840850830078, 0.9000656604766846, 0.8974264860153198]"
102,35,34,Kneeling Right Arm Raise,1663,-0.16577938199043274,Kneeling Right Arm Raise: kneel on the mat with knees hip-width apart and keep your knees below the ,"[34, 34, 34, 34, 34]","[0.9030383825302124, 0.9008303284645081, 0.9004840850830078, 0.9000656604766846, 0.8974264860153198]"
1182,35,34,Kneeling Right Arm Raise,1470,-0.11961675435304642,Kneeling Right Arm Raise: kneel on the mat with knees hip-width apart and keep your knees below the ,"[34, 34, 34, 34, 34]","[0.9030384421348572, 0.900830090045929, 0.9004842638969421, 0.9000656008720398, 0.897426426410675]"
1185,36,35,Shoulder Bridge,734,0.11744533479213715,"Shoulder Bridge: lie on your back with your legs naturally bent about 90 degrees, keep your legs hip","[35, 35, 35, 35, 35]","[0.9007164835929871, 0.8973923921585083, 0.8945802450180054, 0.888495922088623, 0.8860280513763428]"
645,36,35,Shoulder Bridge,588,0.15003415942192078,"Shoulder Bridge: lie on your back with your legs naturally bent about 90 degrees, keep your legs hip","[35, 35, 35, 35, 35]","[0.9007164835929871, 0.8973923921585083, 0.8945802450180054, 0.888495922088623, 0.8860280513763428]"
1725,36,35,Shoulder Bridge,486,0.18091429769992828,"Shoulder Bridge: lie on your back with your legs naturally bent about 90 degrees, keep your legs hip","[35, 35, 35, 35, 35]","[0.9007166028022766, 0.8973923325538635, 0.8945802450180054, 0.8884962797164917, 0.8860281109809875]"
105,36,35,Shoulder Bridge,298,0.23883263766765594,"Shoulder Bridge: lie on your back with your legs naturally bent about 90 degrees, keep your legs hip","[35, 35, 35, 35, 35]","[0.9007166624069214, 0.8973923325538635, 0.8945804238319397, 0.8884961605072021, 0.8860281109809875]"
226,16,15,Lying Shoulder Joint Downward Round,67,0.5075910687446594,"Lying Shoulder Joint Downward Round: bend your knees and lie on the yoga mat, keep your shoulders do","[15, 15, 15, 15, 15]","[0.8795947432518005, 0.8792423605918884, 0.8724111914634705, 0.8703341484069824, 0.8699354529380798]"
1846,16,15,Lying Shoulder Joint Downward Round,65,0.5089708566665649,"Lying Shoulder Joint Downward Round: bend your knees and lie on the yoga mat, keep your shoulders do","[15, 15, 15, 15, 15]","[0.8795948624610901, 0.8792423605918884, 0.8724113702774048, 0.870334267616272, 0.8699352741241455]"
1306,16,15,Lying Shoulder Joint Downward Round,63,0.5101802349090576,"Lying Shoulder Joint Downward Round: bend your knees and lie on the yoga mat, keep your shoulders do","[15, 15, 15, 15, 15]","[0.8795948028564453, 0.8792423605918884, 0.8724114298820496, 0.870334267616272, 0.8699353933334351]"
1880,27,26,Two-way Head Turn,63,0.6958799362182617,"Two-way Head Turn: sit in a chair, put your hands naturally on your thighs, and keep your waist stra","[26, 26, 26, 26, 26]","[0.8930533528327942, 0.891649067401886, 0.8899406790733337, 0.8891412019729614, 0.8882993459701538]"
