text_to_pose_rank,pose_to_text_rank
31,36
9,25
7,35
120,68
78,138
75,123
10,33
32,35
35,28
5,3
3,2
11,26
16,35
33,2
36,71
138,86
205,143
54,83
18,12
22,35
6,3
24,2
25,36
15,26
10,36
30,36
1,35
14,34
20,36
15,22
32,24
45,2
43,1
18,1
3,71
8,35
63,34
64,33
60,35
15,35
31,2
23,2
84,70
95,96
67,66
123,150
120,174
54,108
28,35
32,25
25,3
26,1
19,2
1,34
16,36
22,2
6,6
54,65
34,37
18,47
51,28
21,1
68,25
30,36
29,22
12,33
8,17
14,10
23,11
25,8
15,2
12,12
313,152
170,162
168,151
41,121
14,4
13,5
18,11
21,7
20,11
34,93
42,93
54,91
10,1
16,6
47,7
27,32
18,7
22,29
17,1
20,6
30,7
22,50
5,2
39,34
3,4
15,7
16,13
82,48
64,58
58,62
381,60
556,552
553,551
1718,1571
56,13
35,12
11,8
185,43
312,111
30,16
25,35
11,13
52,11
44,8
26,9
136,9
85,13
19,31
35,40
168,73
26,27
33,13
19,18
3,29
425,459
53,45
1,20
2,19
13,50
49,56
120,18
192,16
156,18
55,16
62,7
35,10
64,27
118,68
37,7
19,19
16,36
29,19
6,21
5,18
21,22
20,21
28,23
33,30
2,21
3,21
8,21
24,21
8,17
3,7
28,13
5,13
2,26
14,32
34,25
26,28
13,34
28,34
25,33
29,26
33,29
36,25
27,29
31,28
35,35
14,34
25,20
19,34
23,34
6,34
35,32
4,11
6,24
10,28
24,27
34,20
14,23
218,198
104,153
71,144
9,24
1,23
13,21
13,31
35,32
190,197
8,8
4,27
1,23
42,72
111,108
30,39
28,30
32,100
119,209
7,19
32,28
19,35
26,34
19,26
28,31
34,31
13,31
29,35
54,211
99,331
5,28
42,63
79,244
107,241
40,26
53,36
14,22
25,25
45,24
51,31
76,62
34,68
71,33
22,102
28,91
256,273
20,28
12,30
9,34
2,33
12,33
14,30
3,22
21,34
2,30
4,33
16,46
1,50
5,26
15,33
9,14
20,21
39,19
31,22
30,33
35,33
18,22
21,21
28,29
36,27
14,35
17,5
81,68
23,34
20,34
25,8
64,36
55,24
63,19
60,103
19,75
5,18
31,41
72,42
74,46
5,33
25,17
64,27
5,25
37,28
26,33
3,26
26,86
29,101
25,3
26,32
23,35
42,29
19,35
29,18
14,17
23,23
19,15
37,36
11,13
14,23
66,29
83,12
77,1
38,21
20,8
27,23
39,19
66,28
89,8
236,243
167,91
36,47
43,121
25,133
145,276
12,31
28,22
17,22
16,33
49,15
35,20
27,12
37,8
30,10
7,60
16,53
3,21
71,42
52,71
14,69
7,47
14,48
5,59
35,29
27,23
18,6
19,19
27,36
35,10
13,35
1,35
2,33
33,1
30,28
26,13
16,8
27,3
21,8
29,13
26,12
9,25
27,36
29,35
36,36
1,36
6,35
7,34
6,35
9,31
21,30
6,24
12,4
7,7
1,28
5,23
10,24
1,20
11,23
15,30
19,10
35,19
17,20
3,34
17,36
26,34
11,50
17,43
19,10
30,31
22,3
26,29
32,24
30,14
25,17
27,8
25,9
21,21
1,9
17,24
6,14
9,16
12,20
16,10
2,6
6,6
12,21
6,8
17,11
21,2
3,1
18,15
11,15
12,12
16,4
10,15
10,25
11,20
116,64
7,9
1,17
2,9
4,4
1,1
3,32
22,17
16,13
29,40
9,67
8,106
3,24
4,15
16,30
24,11
28,20
50,64
44,22
25,7
34,30
30,23
23,43
38,48
55,63
42,32
20,53
53,37
9,36
5,3
6,23
25,34
7,20
6,31
6,17
9,6
10,4
9,27
2,4
5,19
31,127
6,3
4,33
23,15
22,21
19,17
7,36
1,20
3,35
96,4
85,12
88,60
13,31
1,10
12,1
10,29
8,4
19,12
17,36
9,18
12,13
30,9
10,24
34,3
46,10
14,4
6,7
6,7
12,29
2,12
8,11
3,13
1,21
6,9
8,15
20,2
1,34
3,20
16,3
2,3
48,30
11,36
18,53
23,46
5,10
2,31
1,13
9,5
26,19
6,10
18,28
173,239
146,214
119,119
32,38
4,16
21,22
39,43
71,7
78,34
65,64
21,28
9,11
60,207
75,260
152,270
1,34
32,3
5,20
32,1
20,32
4,6
7,25
17,24
22,35
17,24
22,4
16,10
2,4
11,3
34,35
32,3
7,2
17,9
4,21
9,33
7,21
12,27
22,21
40,22
2,32
14,22
11,18
18,6
20,8
3,5
23,32
34,31
28,27
20,17
26,26
33,25
32,26
28,5
33,17
29,17
11,30
8,23
121,47
74,89
62,89
6,24
23,3
34,13
4,20
2,32
9,27
15,13
30,26
35,25
130,63
195,120
38,99
17,8
21,23
3,22
34,8
29,5
22,4
16,25
29,2
3,3
19,3
23,28
10,34
19,15
38,6
36,19
9,8
1,54
4,24
66,1
62,2
58,10
14,1
27,16
21,25
80,65
83,49
53,38
114,151
110,177
48,108
29,7
35,31
27,33
23,11
13,31
6,33
17,17
24,22
4,36
62,51
53,59
43,45
58,35
19,5
69,17
26,4
35,13
23,16
1,28
4,23
15,23
32,4
24,1
18,22
303,154
245,156
247,149
40,121
9,32
10,30
14,24
17,7
15,8
33,74
44,79
56,94
38,25
50,2
90,11
28,35
15,9
17,35
13,35
22,3
28,32
27,53
7,13
38,14
2,11
7,7
8,28
95,67
87,72
73,50
368,81
572,592
570,593
1678,1551
41,16
21,22
4,13
168,52
265,125
19,6
17,10
5,7
37,15
30,26
21,15
106,21
70,19
11,18
27,50
148,126
20,11
39,29
24,15
2,4
422,453
45,69
3,11
3,8
15,44
54,66
101,16
175,20
148,14
56,19
63,10
41,3
59,8
132,63
42,25
14,23
11,16
30,25
7,1
9,5
23,7
25,13
31,28
32,21
4,1
1,36
6,3
25,10
10,8
7,8
22,31
6,7
4,12
19,29
33,25
24,31
17,33
27,23
29,30
27,27
31,24
35,30
28,1
29,27
33,32
9,29
17,26
18,27
19,28
8,32
34,25
2,27
5,22
11,16
21,28
33,15
1,29
198,204
81,137
51,122
21,7
3,7
12,17
14,9
29,71
178,157
10,17
6,35
3,2
27,17
69,45
24,5
25,25
31,42
89,154
1,17
35,32
23,2
9,35
5,33
22,22
33,11
24,12
32,13
52,176
87,357
2,27
34,69
75,214
98,219
39,3
49,20
13,12
19,4
43,12
46,15
66,43
26,59
56,17
14,97
17,73
237,254
17,30
7,12
5,5
9,9
11,18
10,23
8,14
11,7
5,4
7,6
17,46
5,42
3,29
8,10
4,27
14,1
38,17
25,10
24,29
32,28
20,21
16,30
27,12
34,35
10,30
15,8
73,58
19,1
17,6
22,10
62,23
54,14
61,21
62,94
21,90
18,22
49,53
80,60
76,53
2,4
24,7
60,1
2,25
32,11
23,11
4,12
25,69
28,42
22,34
20,16
18,7
34,2
20,8
25,17
10,34
22,1
18,24
27,12
13,21
17,22
45,12
68,8
59,31
33,8
10,11
21,32
29,11
59,35
81,8
224,251
160,98
30,42
28,113
16,101
123,285
5,9
23,20
11,26
15,23
46,6
27,15
25,20
40,7
26,22
2,11
6,12
1,18
69,40
42,27
11,31
11,39
13,37
9,67
26,5
20,32
10,5
22,10
25,24
34,15
10,25
5,29
6,24
31,8
29,8
25,10
14,29
26,15
23,35
12,3
14,27
13,14
21,31
16,26
31,15
2,32
4,21
5,31
7,17
17,25
23,28
2,35
11,26
4,31
2,24
6,31
12,19
3,18
10,26
16,29
14,7
34,33
15,23
6,32
10,29
19,30
2,42
7,46
15,12
31,31
15,9
19,3
24,23
27,26
22,25
24,31
22,15
19,9
3,20
12,10
2,36
7,31
10,31
15,11
4,24
11,10
16,13
7,15
13,3
20,27
6,9
21,23
17,6
8,9
15,35
11,5
7,1
12,33
108,58
8,10
3,25
5,23
7,16
5,3
9,6
19,3
12,7
25,58
4,8
7,92
2,6
1,24
11,5
21,31
30,22
45,45
40,28
18,4
33,29
26,32
32,43
50,58
67,37
39,27
11,51
50,32
18,17
2,23
8,25
26,28
11,17
9,27
7,27
13,20
14,30
13,8
4,24
8,20
29,125
2,13
1,19
24,20
28,15
27,28
13,22
6,29
12,29
100,1
91,18
92,60
8,8
9,15
3,30
9,36
3,25
16,32
8,16
2,13
6,14
31,19
14,32
36,24
40,32
11,18
7,22
7,13
8,24
1,30
9,29
6,26
2,8
9,24
10,21
17,24
9,16
8,16
14,25
1,23
22,22
5,14
15,69
13,52
1,8
6,3
4,9
11,5
25,33
8,17
16,20
167,232
148,208
120,177
29,72
9,11
17,45
19,6
81,6
67,24
58,35
24,20
8,6
55,199
74,257
147,283
3,29
51,2
8,4
30,17
11,30
1,22
9,17
19,23
24,18
13,7
20,2
14,12
1,15
12,1
35,18
30,6
18,3
23,23
1,25
8,23
10,27
18,27
30,31
53,30
3,19
19,31
12,27
5,27
10,15
1,31
27,21
36,18
30,17
21,17
29,10
31,19
27,12
23,20
26,34
28,18
15,10
5,30
150,172
100,152
102,175
16,17
27,20
36,9
7,33
10,23
12,23
12,16
26,23
32,15
120,95
186,123
61,93
20,17
24,36
11,13
30,35
31,7
21,33
12,23
36,17
11,9
7,13
9,13
16,23
25,2
49,20
26,21
20,47
19,67
17,37
72,21
71,14
68,18
17,5
24,16
18,10
73,65
113,48
77,35
113,166
109,174
64,85
33,32
36,1
31,12
33,9
22,15
5,4
35,60
31,10
15,26
91,50
78,60
61,69
63,9
24,17
71,14
21,21
32,26
16,31
5,30
13,25
21,31
30,12
20,24
19,19
289,184
222,159
221,169
37,93
12,17
11,9
4,18
8,34
3,12
25,81
30,91
47,94
9,34
34,5
48,6
30,1
26,21
29,23
21,11
31,24
34,27
19,44
11,29
33,35
1,19
5,15
6,1
55,35
50,39
44,69
336,48
650,827
647,799
1702,1576
48,15
24,14
19,35
153,119
252,203
32,24
29,20
15,11
84,4
67,11
46,10
87,18
37,32
16,12
14,6
128,83
13,16
71,24
29,16
9,4
568,478
135,53
4,18
14,41
34,59
62,59
41,1
150,14
106,15
68,18
67,14
61,15
92,19
154,99
52,22
53,36
38,31
65,30
10,30
13,21
24,28
34,16
35,30
36,20
11,29
7,31
12,4
33,4
19,8
15,7
36,27
10,9
11,18
18,29
32,17
20,20
20,15
26,16
32,17
26,10
30,17
34,12
25,27
30,20
34,28
13,11
20,12
22,17
22,9
9,14
36,11
7,5
9,9
20,1
25,13
35,26
4,9
222,191
107,163
83,153
24,11
8,28
20,4
17,19
113,22
229,239
11,1
13,16
5,30
35,49
103,75
36,88
27,35
30,67
68,107
14,13
36,4
28,24
34,12
31,31
35,2
36,14
27,19
31,16
70,337
130,389
1,2
54,200
115,235
126,307
36,4
50,10
12,29
16,15
40,13
42,7
88,12
33,45
82,18
29,84
27,102
264,270
23,30
15,27
10,6
4,24
8,10
15,31
10,10
19,14
9,9
11,45
41,56
15,53
28,22
25,28
27,26
17,9
22,25
19,7
27,13
33,17
17,16
23,20
31,13
35,14
18,30
32,34
86,91
21,4
18,32
24,25
44,29
30,12
35,7
49,102
15,96
2,24
4,56
59,54
73,58
10,25
32,27
83,32
6,12
35,35
27,4
1,36
18,75
24,89
13,33
11,29
12,36
30,18
13,29
24,34
15,16
21,12
17,6
78,9
22,19
19,33
72,19
103,19
96,101
39,30
24,23
26,22
54,10
71,4
93,50
244,287
198,132
58,105
50,194
39,135
163,345
7,5
31,8
15,31
34,27
59,15
61,26
42,39
50,9
38,9
5,61
11,41
4,53
72,62
53,8
12,16
21,16
22,13
17,54
57,10
41,2
25,3
18,18
17,15
31,7
18,15
14,13
12,13
36,53
35,34
28,21
17,25
31,26
30,19
8,3
31,3
34,6
28,15
13,17
15,11
9,13
16,16
15,16
8,14
18,15
22,11
13,25
22,19
19,28
3,12
7,10
11,9
5,9
14,14
24,12
13,4
31,32
12,8
12,9
16,28
23,12
9,64
21,47
28,18
29,32
7,33
14,25
63,1
54,33
51,6
18,9
20,32
17,19
8,32
16,8
5,32
1,13
2,32
13,22
8,16
10,21
18,12
14,25
23,24
24,30
5,18
1,13
2,9
6,33
7,11
3,20
15,72
16,24
136,256
16,17
10,33
11,32
10,10
11,3
12,8
44,13
36,14
65,30
25,27
24,62
19,28
2,15
6,7
18,4
21,4
38,64
34,9
1,21
27,5
13,33
63,51
96,43
104,58
31,20
6,26
47,4
11,8
1,9
4,18
19,11
3,13
2,12
2,25
1,26
3,17
11,34
1,2
6,32
33,118
8,18
7,28
10,34
7,13
6,9
8,23
17,12
14,12
93,17
23,15
63,46
21,18
14,11
19,22
12,33
11,19
25,29
21,13
14,31
16,36
29,28
9,21
32,32
43,22
22,22
10,15
3,31
13,29
5,32
18,24
12,10
10,2
22,2
21,12
31,31
6,29
7,29
18,14
7,28
72,23
47,29
54,114
49,122
20,82
5,6
3,27
10,25
32,27
